V1,id,sector,cluster,validated,phase,phase_category,gap,risk,ownership,measure
450,cp_59,civil protection,monitoring and early warning systems,1,Preparedness: tools,tools,"resources, capacity & implementation","multi-hazard, multi-risk",local & regional,"Usage of established municipal apps (e. g., for tourism) for early warnings and civil protection messages. Here, the problem is not that early warning systems are not present or not effective, but that they are not known by the population and that during the response phase, citizens could not find the relevant information. Moreover, it must be definded which action should follow after warnings."
451,cp_59,civil protection,monitoring and early warning systems,1,Preparedness: tools,tools,awareness & recognition,"multi-hazard, multi-risk",local & regional,"Usage of established municipal apps (e. g., for tourism) for early warnings and civil protection messages. Here, the problem is not that early warning systems are not present or not effective, but that they are not known by the population and that during the response phase, citizens could not find the relevant information. Moreover, it must be definded which action should follow after warnings."
452,cp_59,civil protection,monitoring and early warning systems,1,Preparedness: tool implementation,tool implementation,"resources, capacity & implementation","multi-hazard, multi-risk",local & regional,"Usage of established municipal apps (e. g., for tourism) for early warnings and civil protection messages. Here, the problem is not that early warning systems are not present or not effective, but that they are not known by the population and that during the response phase, citizens could not find the relevant information. Moreover, it must be definded which action should follow after warnings."
453,cp_59,civil protection,monitoring and early warning systems,1,Preparedness: tool implementation,tool implementation,awareness & recognition,"multi-hazard, multi-risk",local & regional,"Usage of established municipal apps (e. g., for tourism) for early warnings and civil protection messages. Here, the problem is not that early warning systems are not present or not effective, but that they are not known by the population and that during the response phase, citizens could not find the relevant information. Moreover, it must be definded which action should follow after warnings."
454,cp_60,civil protection,monitoring and early warning systems,1,Recovery: learning,learning,"knowledge, data & evidence","multi-hazard, multi-risk",national & subnational,National coherent documentation of events and damages. In this context also local event documentation needs to be harmonized. This is important because missing (local) documentation results in less economic considerations when deciding on new (national) protection strategies.
455,cp_60,civil protection,monitoring and early warning systems,1,Recovery: learning,learning,local risk preparedness & community-driven adaptive capacities,"multi-hazard, multi-risk",national & subnational,National coherent documentation of events and damages. In this context also local event documentation needs to be harmonized. This is important because missing (local) documentation results in less economic considerations when deciding on new (national) protection strategies.
456,cp_61,civil protection,monitoring and early warning systems,1,Preparedness: tools,tools,"resources, capacity & implementation","multi-hazard, multi-risk",national & subnational,"Comprehensive rollout of cell-broadcast systems. Here, it is essential to define what actions should follow after warnings."
457,cp_61,civil protection,monitoring and early warning systems,1,Preparedness: tool implementation,tool implementation,"resources, capacity & implementation","multi-hazard, multi-risk",national & subnational,"Comprehensive rollout of cell-broadcast systems. Here, it is essential to define what actions should follow after warnings."
458,cp_62,civil protection,monitoring and early warning systems,1,Preparedness: tools,tools,"knowledge, data & evidence","multi-hazard, multi-risk",national & subnational,"Interlinking existing monitoring systems. This requires the collaboration of different stakeholders and the integration of new knowledge into existing tools, as well as ensuring that the results of monitoring actually lead to preventive actions. Moreover, improved forecasting and nowcasting methods should be developed, based on enhanced and more systematic monitoring and risk assessments."
459,cp_62,civil protection,monitoring and early warning systems,1,Preparedness: tools,tools,governance: organisational & procedural,"multi-hazard, multi-risk",national & subnational,"Interlinking existing monitoring systems. This requires the collaboration of different stakeholders and the integration of new knowledge into existing tools, as well as ensuring that the results of monitoring actually lead to preventive actions. Moreover, improved forecasting and nowcasting methods should be developed, based on enhanced and more systematic monitoring and risk assessments."
460,cp_62,civil protection,monitoring and early warning systems,1,Preparedness: tools,tools,"resources, capacity & implementation","multi-hazard, multi-risk",national & subnational,"Interlinking existing monitoring systems. This requires the collaboration of different stakeholders and the integration of new knowledge into existing tools, as well as ensuring that the results of monitoring actually lead to preventive actions. Moreover, improved forecasting and nowcasting methods should be developed, based on enhanced and more systematic monitoring and risk assessments."
461,cp_62,civil protection,monitoring and early warning systems,1,Preparedness: tool implementation,tool implementation,"knowledge, data & evidence","multi-hazard, multi-risk",national & subnational,"Interlinking existing monitoring systems. This requires the collaboration of different stakeholders and the integration of new knowledge into existing tools, as well as ensuring that the results of monitoring actually lead to preventive actions. Moreover, improved forecasting and nowcasting methods should be developed, based on enhanced and more systematic monitoring and risk assessments."
462,cp_62,civil protection,monitoring and early warning systems,1,Preparedness: tool implementation,tool implementation,governance: organisational & procedural,"multi-hazard, multi-risk",national & subnational,"Interlinking existing monitoring systems. This requires the collaboration of different stakeholders and the integration of new knowledge into existing tools, as well as ensuring that the results of monitoring actually lead to preventive actions. Moreover, improved forecasting and nowcasting methods should be developed, based on enhanced and more systematic monitoring and risk assessments."
463,cp_62,civil protection,monitoring and early warning systems,1,Preparedness: tool implementation,tool implementation,"resources, capacity & implementation","multi-hazard, multi-risk",national & subnational,"Interlinking existing monitoring systems. This requires the collaboration of different stakeholders and the integration of new knowledge into existing tools, as well as ensuring that the results of monitoring actually lead to preventive actions. Moreover, improved forecasting and nowcasting methods should be developed, based on enhanced and more systematic monitoring and risk assessments."
464,cp_63,civil protection,monitoring and early warning systems,1,Preparedness: tools,tools,"knowledge, data & evidence","multi-hazard, multi-risk",national & subnational,"Increased spatial and temporal resolution of climate-related effects in weather prognoses. This regards, for example, the current unpredictability of rainfall intensiy and location during thunderstorms."
465,cp_64,civil protection,monitoring and early warning systems,1,Preparedness: tools,tools,"knowledge, data & evidence","multi-hazard, multi-risk",national & subnational,"Including climate change effects in hazard maps. Here, the implementation of new knowledge into existing tools needs to be reinforced."
466,cp_65,civil protection,monitoring and early warning systems,1,Preparedness: tools,tools,"knowledge, data & evidence",direct extreme weather impacts,national & subnational,"Forecasting methods need to show ‘what weather will cause’ instead of ‘what weather will be’. This is because of the limited ability of existing preparedness tools to predict impacts (of weather events) on the territory. Here, the challenge is to develop improved forecasting and nowcasting methods, based on enhanced and more systematic monitoring and risk assessment, and to safeguard that available and advanced tools and data are actually used in an active way to take preventive actions."
467,cp_65,civil protection,monitoring and early warning systems,1,Preparedness: tools,tools,"knowledge, data & evidence",flooding: pluvial,national & subnational,"Forecasting methods need to show ‘what weather will cause’ instead of ‘what weather will be’. This is because of the limited ability of existing preparedness tools to predict impacts (of weather events) on the territory. Here, the challenge is to develop improved forecasting and nowcasting methods, based on enhanced and more systematic monitoring and risk assessment, and to safeguard that available and advanced tools and data are actually used in an active way to take preventive actions."
468,cp_65,civil protection,monitoring and early warning systems,1,Preparedness: tools,tools,"knowledge, data & evidence",drought,national & subnational,"Forecasting methods need to show ‘what weather will cause’ instead of ‘what weather will be’. This is because of the limited ability of existing preparedness tools to predict impacts (of weather events) on the territory. Here, the challenge is to develop improved forecasting and nowcasting methods, based on enhanced and more systematic monitoring and risk assessment, and to safeguard that available and advanced tools and data are actually used in an active way to take preventive actions."
469,cp_65,civil protection,monitoring and early warning systems,1,Preparedness: tools,tools,"resources, capacity & implementation",direct extreme weather impacts,national & subnational,"Forecasting methods need to show ‘what weather will cause’ instead of ‘what weather will be’. This is because of the limited ability of existing preparedness tools to predict impacts (of weather events) on the territory. Here, the challenge is to develop improved forecasting and nowcasting methods, based on enhanced and more systematic monitoring and risk assessment, and to safeguard that available and advanced tools and data are actually used in an active way to take preventive actions."
470,cp_65,civil protection,monitoring and early warning systems,1,Preparedness: tools,tools,"resources, capacity & implementation",flooding: pluvial,national & subnational,"Forecasting methods need to show ‘what weather will cause’ instead of ‘what weather will be’. This is because of the limited ability of existing preparedness tools to predict impacts (of weather events) on the territory. Here, the challenge is to develop improved forecasting and nowcasting methods, based on enhanced and more systematic monitoring and risk assessment, and to safeguard that available and advanced tools and data are actually used in an active way to take preventive actions."
471,cp_65,civil protection,monitoring and early warning systems,1,Preparedness: tools,tools,"resources, capacity & implementation",drought,national & subnational,"Forecasting methods need to show ‘what weather will cause’ instead of ‘what weather will be’. This is because of the limited ability of existing preparedness tools to predict impacts (of weather events) on the territory. Here, the challenge is to develop improved forecasting and nowcasting methods, based on enhanced and more systematic monitoring and risk assessment, and to safeguard that available and advanced tools and data are actually used in an active way to take preventive actions."
472,cp_65,civil protection,monitoring and early warning systems,1,Preparedness: tool implementation,tool implementation,"knowledge, data & evidence",direct extreme weather impacts,national & subnational,"Forecasting methods need to show ‘what weather will cause’ instead of ‘what weather will be’. This is because of the limited ability of existing preparedness tools to predict impacts (of weather events) on the territory. Here, the challenge is to develop improved forecasting and nowcasting methods, based on enhanced and more systematic monitoring and risk assessment, and to safeguard that available and advanced tools and data are actually used in an active way to take preventive actions."
473,cp_65,civil protection,monitoring and early warning systems,1,Preparedness: tool implementation,tool implementation,"knowledge, data & evidence",flooding: pluvial,national & subnational,"Forecasting methods need to show ‘what weather will cause’ instead of ‘what weather will be’. This is because of the limited ability of existing preparedness tools to predict impacts (of weather events) on the territory. Here, the challenge is to develop improved forecasting and nowcasting methods, based on enhanced and more systematic monitoring and risk assessment, and to safeguard that available and advanced tools and data are actually used in an active way to take preventive actions."
474,cp_65,civil protection,monitoring and early warning systems,1,Preparedness: tool implementation,tool implementation,"knowledge, data & evidence",drought,national & subnational,"Forecasting methods need to show ‘what weather will cause’ instead of ‘what weather will be’. This is because of the limited ability of existing preparedness tools to predict impacts (of weather events) on the territory. Here, the challenge is to develop improved forecasting and nowcasting methods, based on enhanced and more systematic monitoring and risk assessment, and to safeguard that available and advanced tools and data are actually used in an active way to take preventive actions."
475,cp_65,civil protection,monitoring and early warning systems,1,Preparedness: tool implementation,tool implementation,"resources, capacity & implementation",direct extreme weather impacts,national & subnational,"Forecasting methods need to show ‘what weather will cause’ instead of ‘what weather will be’. This is because of the limited ability of existing preparedness tools to predict impacts (of weather events) on the territory. Here, the challenge is to develop improved forecasting and nowcasting methods, based on enhanced and more systematic monitoring and risk assessment, and to safeguard that available and advanced tools and data are actually used in an active way to take preventive actions."
476,cp_65,civil protection,monitoring and early warning systems,1,Preparedness: tool implementation,tool implementation,"resources, capacity & implementation",flooding: pluvial,national & subnational,"Forecasting methods need to show ‘what weather will cause’ instead of ‘what weather will be’. This is because of the limited ability of existing preparedness tools to predict impacts (of weather events) on the territory. Here, the challenge is to develop improved forecasting and nowcasting methods, based on enhanced and more systematic monitoring and risk assessment, and to safeguard that available and advanced tools and data are actually used in an active way to take preventive actions."
477,cp_65,civil protection,monitoring and early warning systems,1,Preparedness: tool implementation,tool implementation,"resources, capacity & implementation",drought,national & subnational,"Forecasting methods need to show ‘what weather will cause’ instead of ‘what weather will be’. This is because of the limited ability of existing preparedness tools to predict impacts (of weather events) on the territory. Here, the challenge is to develop improved forecasting and nowcasting methods, based on enhanced and more systematic monitoring and risk assessment, and to safeguard that available and advanced tools and data are actually used in an active way to take preventive actions."
478,cp_66,civil protection,monitoring and early warning systems,1,Preparedness: tools,tools,governance: organisational & procedural,"multi-hazard, multi-risk",national & subnational,"Mre frameworks between cca, drr and sustainable development need to be interconnected. This requires enhanced collaboration of the respective stakeholders."
479,cp_66,civil protection,monitoring and early warning systems,1,Preparedness: tools,tools,"knowledge, data & evidence","multi-hazard, multi-risk",national & subnational,"Mre frameworks between cca, drr and sustainable development need to be interconnected. This requires enhanced collaboration of the respective stakeholders."
480,cp_67,civil protection,monitoring and early warning systems,1,Preparedness: tools,tools,"knowledge, data & evidence",hydrological hazards: other,national & subnational,"A warning system for debris flow is missing. Temporary protective measures require reliable early warnings, which are currently absent in the catchments. The existing warning systems for debris flow have high accuracy but short lead times (minutes) for limited actions like traffic control. What is needed is a complementary warning system with longer lead times, like for example rainfall thresholds that use real-time or forecasted data for longer lead times but lower accuracy."
481,cp_68,civil protection,monitoring and early warning systems,1,Preparedness: tools,tools,"knowledge, data & evidence","multi-hazard, multi-risk",national & subnational,Increased positional accuracy of spatial warnings is needed to enhance road safety.
482,cp_69,civil protection,monitoring and early warning systems,1,Preparedness: tool implementation,tool implementation,governance: organisational & procedural,direct extreme weather impacts,national & subnational,A standardized procedure is missing for how authorities and civil protection organizations shall deal with extreme weather warnings and results of nowcasting. This complicates making effective decisions during the response phase.
483,cp_69,civil protection,monitoring and early warning systems,1,Preparedness: tool implementation,tool implementation,governance: organisational & procedural,flooding: pluvial,national & subnational,A standardized procedure is missing for how authorities and civil protection organizations shall deal with extreme weather warnings and results of nowcasting. This complicates making effective decisions during the response phase.
484,cp_69,civil protection,monitoring and early warning systems,1,Preparedness: tool implementation,tool implementation,governance: organisational & procedural,drought,national & subnational,A standardized procedure is missing for how authorities and civil protection organizations shall deal with extreme weather warnings and results of nowcasting. This complicates making effective decisions during the response phase.
485,cp_70,civil protection,monitoring and early warning systems,1,Preparedness: tool implementation,tool implementation,compliance & enforcement,"multi-hazard, multi-risk",local & regional,Issue of compliance: even though the local population was warned about the event some citizens did not respond or not quick enough.
486,cp_70,civil protection,monitoring and early warning systems,1,Response: tool implementation,tool implementation,compliance & enforcement,"multi-hazard, multi-risk",local & regional,Issue of compliance: even though the local population was warned about the event some citizens did not respond or not quick enough.
487,cp_71,civil protection,monitoring and early warning systems,1,Preparedness: tools,tools,"knowledge, data & evidence","multi-hazard, multi-risk",local & regional,A locally tailored warning system is needed to improve the local procedures in response to early warnings.
488,cp_71,civil protection,monitoring and early warning systems,1,Preparedness: tools,tools,local risk preparedness & community-driven adaptive capacities,"multi-hazard, multi-risk",local & regional,A locally tailored warning system is needed to improve the local procedures in response to early warnings.
489,cp_71,civil protection,monitoring and early warning systems,1,Preparedness: tool implementation,tool implementation,"knowledge, data & evidence","multi-hazard, multi-risk",local & regional,A locally tailored warning system is needed to improve the local procedures in response to early warnings.
490,cp_71,civil protection,monitoring and early warning systems,1,Preparedness: tool implementation,tool implementation,local risk preparedness & community-driven adaptive capacities,"multi-hazard, multi-risk",local & regional,A locally tailored warning system is needed to improve the local procedures in response to early warnings.
491,cp_72,civil protection,"trainings, education, and learning from past events",0,Preparedness: tool implementation,tool implementation,"resources, capacity & implementation","multi-hazard, multi-risk",local & regional,"Specialized qualifications are needed for volunteer workers, self-employed persons, and farmers in order to increase disaster preparedness."
492,cp_72,civil protection,"trainings, education, and learning from past events",0,Preparedness: tool implementation,tool implementation,local risk preparedness & community-driven adaptive capacities,"multi-hazard, multi-risk",local & regional,"Specialized qualifications are needed for volunteer workers, self-employed persons, and farmers in order to increase disaster preparedness."
493,cp_73,civil protection,"trainings, education, and learning from past events",1,Preparedness: tool implementation,tool implementation,"resources, capacity & implementation","multi-hazard, multi-risk",local & regional,"Training exercises for commonly developed emergency and contingency plans to ensure every citizen knows the civil protection plan and also how to behave, e. g., in case of a debris flow event. This entails periodical repetitions to achieve routine."
494,cp_73,civil protection,"trainings, education, and learning from past events",1,Preparedness: tool implementation,tool implementation,"resources, capacity & implementation",hydrological hazards: other,local & regional,"Training exercises for commonly developed emergency and contingency plans to ensure every citizen knows the civil protection plan and also how to behave, e. g., in case of a debris flow event. This entails periodical repetitions to achieve routine."
495,cp_73,civil protection,"trainings, education, and learning from past events",1,Preparedness: tool implementation,tool implementation,local risk preparedness & community-driven adaptive capacities,"multi-hazard, multi-risk",local & regional,"Training exercises for commonly developed emergency and contingency plans to ensure every citizen knows the civil protection plan and also how to behave, e. g., in case of a debris flow event. This entails periodical repetitions to achieve routine."
496,cp_73,civil protection,"trainings, education, and learning from past events",1,Preparedness: tool implementation,tool implementation,local risk preparedness & community-driven adaptive capacities,hydrological hazards: other,local & regional,"Training exercises for commonly developed emergency and contingency plans to ensure every citizen knows the civil protection plan and also how to behave, e. g., in case of a debris flow event. This entails periodical repetitions to achieve routine."
497,cp_74,civil protection,"trainings, education, and learning from past events",0,Preparedness: tool implementation,tool implementation,"resources, capacity & implementation","multi-hazard, multi-risk",national & subnational,"Involving schools into children’s information about natural hazards, vulnerabilities and risks."
498,cp_74,civil protection,"trainings, education, and learning from past events",0,Preparedness: tool implementation,tool implementation,local risk preparedness & community-driven adaptive capacities,"multi-hazard, multi-risk",national & subnational,"Involving schools into children’s information about natural hazards, vulnerabilities and risks."
499,cp_75,civil protection,"trainings, education, and learning from past events",1,Preparedness: tool implementation,tool implementation,"resources, capacity & implementation","multi-hazard, multi-risk",national & subnational,Natural hazard advisors need to share their knowledge through trainings and information events. This entails periodical repetitions to achieve routine.
500,cp_75,civil protection,"trainings, education, and learning from past events",1,Preparedness: tool implementation,tool implementation,"knowledge, data & evidence","multi-hazard, multi-risk",national & subnational,Natural hazard advisors need to share their knowledge through trainings and information events. This entails periodical repetitions to achieve routine.
501,cp_76,civil protection,"trainings, education, and learning from past events",0,Preparedness: tool implementation,tool implementation,"resources, capacity & implementation","multi-hazard, multi-risk",transnational,"Enhanced education in the disaster management sector, e. g., through transnational collaboration and trainings."
502,cp_76,civil protection,"trainings, education, and learning from past events",0,Preparedness: tool implementation,tool implementation,governance: organisational & procedural,"multi-hazard, multi-risk",transnational,"Enhanced education in the disaster management sector, e. g., through transnational collaboration and trainings."
503,cp_77,civil protection,"trainings, education, and learning from past events",1,Preparedness: tool implementation,tool implementation,"resources, capacity & implementation","multi-hazard, multi-risk",local & regional,"Enhanced trainings of disaster relief forces, e. g., for operations during heavy precipitation and debris flow events. This entails periodical repetitions to achieve routine."
504,cp_77,civil protection,"trainings, education, and learning from past events",1,Preparedness: tool implementation,tool implementation,local risk preparedness & community-driven adaptive capacities,"multi-hazard, multi-risk",local & regional,"Enhanced trainings of disaster relief forces, e. g., for operations during heavy precipitation and debris flow events. This entails periodical repetitions to achieve routine."
505,cp_78,civil protection,"trainings, education, and learning from past events",1,Preparedness: tool implementation,tool implementation,"resources, capacity & implementation",direct extreme weather impacts,local & regional,"Education and trainings on how to work with probabilistic weather forecasts, and how to communicate their interpretation to response forces. Here, new knowedge needs to be integrated into existing tools."
506,cp_78,civil protection,"trainings, education, and learning from past events",1,Preparedness: tool implementation,tool implementation,"resources, capacity & implementation",flooding: pluvial,local & regional,"Education and trainings on how to work with probabilistic weather forecasts, and how to communicate their interpretation to response forces. Here, new knowedge needs to be integrated into existing tools."
507,cp_78,civil protection,"trainings, education, and learning from past events",1,Preparedness: tool implementation,tool implementation,"knowledge, data & evidence",direct extreme weather impacts,local & regional,"Education and trainings on how to work with probabilistic weather forecasts, and how to communicate their interpretation to response forces. Here, new knowedge needs to be integrated into existing tools."
508,cp_78,civil protection,"trainings, education, and learning from past events",1,Preparedness: tool implementation,tool implementation,"knowledge, data & evidence",flooding: pluvial,local & regional,"Education and trainings on how to work with probabilistic weather forecasts, and how to communicate their interpretation to response forces. Here, new knowedge needs to be integrated into existing tools."
509,cp_79,civil protection,"trainings, education, and learning from past events",0,Preparedness: tool implementation,tool implementation,"resources, capacity & implementation","multi-hazard, multi-risk",national & subnational,Joint education of fire officers and natural hazard advisors to reach a ‘common language’.
510,cp_80,civil protection,"trainings, education, and learning from past events",0,Preparedness: tool implementation,tool implementation,"resources, capacity & implementation","multi-hazard, multi-risk",national & subnational,Joint emergency exercises with cca and drr communities.
511,cp_81,civil protection,"trainings, education, and learning from past events",1,Preparedness: tools,tools,policy design & planning,direct extreme weather impacts,local & regional,The hazard 'wind' is not considered in many civil protection and contingency plans.
512,cp_82,civil protection,"trainings, education, and learning from past events",1,Preparedness: tool implementation,tool implementation,"resources, capacity & implementation",direct extreme weather impacts,local & regional,"Self protection measures for firefighters in case of strong winds were not trained enough. Therefore, operational forces stayed too long in risky situations."
513,cp_83,civil protection,"trainings, education, and learning from past events",1,Recovery: learning,learning,local risk preparedness & community-driven adaptive capacities,"multi-hazard, multi-risk",local & regional,Debriefing workshops with all concerned stakeholders should be held after each extreme event because post-event anaylsis needs to be improved and systematized.
514,cp_84,civil protection,"trainings, education, and learning from past events",1,Recovery: learning,learning,local risk preparedness & community-driven adaptive capacities,"multi-hazard, multi-risk",local & regional,"Post-event documentation: operational and lessons-learned protocols can guide future responses. While municipalities with frequent disasters share valuable knowledge, those facing new challenges from climate change could benefit from this experience."
515,cp_84,civil protection,"trainings, education, and learning from past events",1,Recovery: learning,learning,"resources, capacity & implementation","multi-hazard, multi-risk",local & regional,"Post-event documentation: operational and lessons-learned protocols can guide future responses. While municipalities with frequent disasters share valuable knowledge, those facing new challenges from climate change could benefit from this experience."
516,cp_85,civil protection,"trainings, education, and learning from past events",1,Recovery: learning,learning,"knowledge, data & evidence","multi-hazard, multi-risk",local & regional,Event documentation typically does not include spatially allocated costs that could be correlated with the spatial classification of the beam (asset-related) dataset.
517,cp_85,civil protection,"trainings, education, and learning from past events",1,Recovery: learning,learning,local risk preparedness & community-driven adaptive capacities,"multi-hazard, multi-risk",local & regional,Event documentation typically does not include spatially allocated costs that could be correlated with the spatial classification of the beam (asset-related) dataset.
518,cp_86,civil protection,"trainings, education, and learning from past events",1,Recovery: learning,learning,"resources, capacity & implementation","multi-hazard, multi-risk",local & regional,"Despite mountain rescue events must be debriefed after every operation, the learnings remain limited because the rescue processes are so familiar."
519,cp_87,civil protection,"trainings, education, and learning from past events",1,Recovery: structural,structural,governance: organisational & procedural,"multi-hazard, multi-risk",national & subnational,"In the recovery phase the inter-sectoral collaboration, especially at the national level, is lacking."
520,cp_87,civil protection,"trainings, education, and learning from past events",1,Recovery: learning,learning,governance: organisational & procedural,"multi-hazard, multi-risk",national & subnational,"In the recovery phase the inter-sectoral collaboration, especially at the national level, is lacking."
521,cp_88,civil protection,"trainings, education, and learning from past events",1,Preparedness: tool implementation,tool implementation,"resources, capacity & implementation","multi-hazard, multi-risk",local & regional,"A routine with emergency response procedures needs to be established, particularly if the last extreme event was long ago. In municipalities with less frequent events, for example, the fire brigades are lacking experience in responding."
522,cp_88,civil protection,"trainings, education, and learning from past events",1,Response: tool implementation,tool implementation,"resources, capacity & implementation","multi-hazard, multi-risk",local & regional,"A routine with emergency response procedures needs to be established, particularly if the last extreme event was long ago. In municipalities with less frequent events, for example, the fire brigades are lacking experience in responding."
523,cp_89,civil protection,"trainings, education, and learning from past events",1,Recovery: learning,learning,local risk preparedness & community-driven adaptive capacities,"multi-hazard, multi-risk","multi-level, cross-level, co-owned","Making better use of disaster events as a window of opportunity to increase resilience and to overcome outdated risk management approaches. This requires systematizing debriefing processes after events, with a more structured event documentation and integration of learnings in monitoring, predictions, nowcasting, and development of new approaches to prevention."
524,cp_90,civil protection,"trainings, education, and learning from past events",1,Preparedness: tool implementation,tool implementation,"resources, capacity & implementation",direct extreme weather impacts,local & regional,"Campaigns and cyclical trainings at the local level are needed to strengthen public awareness of the use of meteorological/hydrological data, forecasts, and warnings."
525,cp_90,civil protection,"trainings, education, and learning from past events",1,Preparedness: tool implementation,tool implementation,"resources, capacity & implementation",hydrological hazards: other,local & regional,"Campaigns and cyclical trainings at the local level are needed to strengthen public awareness of the use of meteorological/hydrological data, forecasts, and warnings."
526,cp_91,civil protection,financing and funding instruments,0,Preparedness: tools,tools,policy design & planning,"multi-hazard, multi-risk",national & subnational,Redesign of national disaster funds and relevant funding instruments along the ideas of ‘build back better’ and prevention.
527,cp_91,civil protection,financing and funding instruments,0,Recovery: structural,structural,policy design & planning,"multi-hazard, multi-risk",national & subnational,Redesign of national disaster funds and relevant funding instruments along the ideas of ‘build back better’ and prevention.
528,cp_91,civil protection,financing and funding instruments,0,Recovery: learning,learning,policy design & planning,"multi-hazard, multi-risk",national & subnational,Redesign of national disaster funds and relevant funding instruments along the ideas of ‘build back better’ and prevention.
529,cp_92,civil protection,financing and funding instruments,0,Preparedness: tool implementation,tool implementation,policy design & planning,"multi-hazard, multi-risk",national & subnational,Using the national disaster fund to provide specialized equipment to disaster relief forces.
530,cp_92,civil protection,financing and funding instruments,0,Preparedness: tool implementation,tool implementation,"resources, capacity & implementation","multi-hazard, multi-risk",national & subnational,Using the national disaster fund to provide specialized equipment to disaster relief forces.
531,cp_93,civil protection,financing and funding instruments,0,Preparedness: tools,tools,policy design & planning,"multi-hazard, multi-risk",national & subnational,Integration of financial incentives in civil protection plans.
532,cp_93,civil protection,financing and funding instruments,0,Preparedness: tools,tools,"resources, capacity & implementation","multi-hazard, multi-risk",national & subnational,Integration of financial incentives in civil protection plans.
533,cp_94,civil protection,financing and funding instruments,0,Prevention: structural,structural,legislative & regulatory,"multi-hazard, multi-risk",national & subnational,Obligatory consideration of property protection measures as a prerequisite to receiving public funding in exposed areas.
534,cp_94,civil protection,financing and funding instruments,0,Prevention: structural,structural,policy design & planning,"multi-hazard, multi-risk",national & subnational,Obligatory consideration of property protection measures as a prerequisite to receiving public funding in exposed areas.
535,cp_94,civil protection,financing and funding instruments,0,Prevention: non-structural,non-structural,legislative & regulatory,"multi-hazard, multi-risk",national & subnational,Obligatory consideration of property protection measures as a prerequisite to receiving public funding in exposed areas.
536,cp_94,civil protection,financing and funding instruments,0,Prevention: non-structural,non-structural,policy design & planning,"multi-hazard, multi-risk",national & subnational,Obligatory consideration of property protection measures as a prerequisite to receiving public funding in exposed areas.
537,cp_95,civil protection,financing and funding instruments,0,Prevention: structural,structural,"resources, capacity & implementation","multi-hazard, multi-risk",national & subnational,"Positive incentives like awards, bonuses, funding for risk precaution."
538,cp_95,civil protection,financing and funding instruments,0,Prevention: structural,structural,policy design & planning,"multi-hazard, multi-risk",national & subnational,"Positive incentives like awards, bonuses, funding for risk precaution."
539,cp_95,civil protection,financing and funding instruments,0,Prevention: non-structural,non-structural,"resources, capacity & implementation","multi-hazard, multi-risk",national & subnational,"Positive incentives like awards, bonuses, funding for risk precaution."
540,cp_95,civil protection,financing and funding instruments,0,Prevention: non-structural,non-structural,policy design & planning,"multi-hazard, multi-risk",national & subnational,"Positive incentives like awards, bonuses, funding for risk precaution."
541,cp_96,civil protection,financing and funding instruments,0,Prevention: non-structural,non-structural,policy design & planning,"multi-hazard, multi-risk",national & subnational,"Custom taxation and fiscal policies in hazard-prone areas (e. g., incentives for reducing landuse), using revenues for enhanced emergency management."
542,cp_96,civil protection,financing and funding instruments,0,Prevention: non-structural,non-structural,legislative & regulatory,"multi-hazard, multi-risk",national & subnational,"Custom taxation and fiscal policies in hazard-prone areas (e. g., incentives for reducing landuse), using revenues for enhanced emergency management."
543,cp_96,civil protection,financing and funding instruments,0,Response: tool implementation,tool implementation,policy design & planning,"multi-hazard, multi-risk",national & subnational,"Custom taxation and fiscal policies in hazard-prone areas (e. g., incentives for reducing landuse), using revenues for enhanced emergency management."
544,cp_96,civil protection,financing and funding instruments,0,Response: tool implementation,tool implementation,legislative & regulatory,"multi-hazard, multi-risk",national & subnational,"Custom taxation and fiscal policies in hazard-prone areas (e. g., incentives for reducing landuse), using revenues for enhanced emergency management."
545,cp_97,civil protection,financing and funding instruments,0,Preparedness: tools,tools,"resources, capacity & implementation","multi-hazard, multi-risk",national & subnational,Forecast-based financing as an impact-oriented tool to anticipate disasters.
546,cp_98,civil protection,financing and funding instruments,1,Preparedness: tools,tools,"resources, capacity & implementation","multi-hazard, multi-risk",national & subnational,"Financial risk management: financial aspects often overwhelm municipal authorities, with fragmented processes for private and public damages. A centralised unit to manage funding and settlements could provide structural support. Uniform natural hazard insurance (as in Switzerland) and short-term liquidity options like kontokorrent loans could reduce financial vulnerability. Early investment in risk cycle measures saves recovery costs."
547,cp_98,civil protection,financing and funding instruments,1,Preparedness: tools,tools,governance: organisational & procedural,"multi-hazard, multi-risk",national & subnational,"Financial risk management: financial aspects often overwhelm municipal authorities, with fragmented processes for private and public damages. A centralised unit to manage funding and settlements could provide structural support. Uniform natural hazard insurance (as in Switzerland) and short-term liquidity options like kontokorrent loans could reduce financial vulnerability. Early investment in risk cycle measures saves recovery costs."
548,cp_98,civil protection,financing and funding instruments,1,Recovery: structural,structural,"resources, capacity & implementation","multi-hazard, multi-risk",national & subnational,"Financial risk management: financial aspects often overwhelm municipal authorities, with fragmented processes for private and public damages. A centralised unit to manage funding and settlements could provide structural support. Uniform natural hazard insurance (as in Switzerland) and short-term liquidity options like kontokorrent loans could reduce financial vulnerability. Early investment in risk cycle measures saves recovery costs."
